Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
179,2018-11-10,37.0,48.0,1,1,"John Smith's Stadium, Huddersfield",Huddersfield,West Ham,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/48.png
180,2018-11-10,46.0,44.0,0,0,"King Power Stadium, Leicester",Leicester,Burnley,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/44.png
183,2018-11-10,34.0,35.0,2,1,"St James' Park, Newcastle upon Tyne",Newcastle,Bournemouth,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/35.png
184,2018-11-10,41.0,38.0,1,1,"St. Mary's Stadium, Southampton",Southampton,Watford,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/38.png
178,2018-11-10,52.0,47.0,0,1,"Selhurst Park, London",Crystal Palace,Tottenham,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/47.png
181,2018-11-11,40.0,36.0,2,0,Anfield,Liverpool,Fulham,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/36.png
177,2018-11-11,49.0,45.0,0,0,Stamford Bridge,Chelsea,Everton,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/45.png
175,2018-11-11,42.0,39.0,1,1,Emirates Stadium,Arsenal,Wolves,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/39.png
182,2018-11-11,50.0,33.0,3,1,Etihad Stadium,Manchester City,Manchester United,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/33.png
186,2018-11-24,51.0,46.0,1,1,American Express Community Stadium,Brighton,Leicester,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/46.png
188,2018-11-24,45.0,43.0,1,0,Goodison Park,Everton,Cardiff,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/43.png
189,2018-11-24,36.0,41.0,3,2,Craven Cottage,Fulham,Southampton,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/41.png
190,2018-11-24,33.0,52.0,0,0,Old Trafford,Manchester United,Crystal Palace,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/52.png
192,2018-11-24,38.0,40.0,0,3,Vicarage Road,Watford,Liverpool,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/40.png
193,2018-11-24,48.0,50.0,0,4,London Stadium,West Ham,Manchester City,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/50.png
191,2018-11-24,47.0,49.0,3,1,Wembley Stadium,Tottenham,Chelsea,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/49.png
185,2018-11-25,35.0,42.0,1,2,Vitality Stadium,Bournemouth,Arsenal,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/42.png
