Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
17696,2016-08-13,64.0,46.0,2,1,KCOM Stadium,Hull City,Leicester,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/46.png
17691,2016-08-13,44.0,76.0,0,1,Turf Moor,Burnley,Swansea,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/76.png
17692,2016-08-13,52.0,60.0,0,1,Selhurst Park,Crystal Palace,West Brom,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/60.png
17693,2016-08-13,45.0,47.0,1,1,Goodison Park,Everton,Tottenham,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/47.png
17694,2016-08-13,70.0,75.0,1,1,Riverside,Middlesbrough,Stoke City,https://media.api-sports.io/football/teams/70.png,https://media.api-sports.io/football/teams/75.png
17695,2016-08-13,41.0,38.0,1,1,St. Mary's Stadium,Southampton,Watford,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/38.png
17690,2016-08-13,50.0,74.0,2,1,Etihad Stadium,Manchester City,Sunderland,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/746.png
17689,2016-08-14,35.0,33.0,1,3,Vitality Stadium,Bournemouth,Manchester United,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/33.png
17688,2016-08-14,42.0,40.0,3,4,Emirates Stadium,Arsenal,Liverpool,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/40.png
17687,2016-08-15,49.0,48.0,2,1,Stamford Bridge,Chelsea,West Ham,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/48.png
17686,2016-08-19,33.0,41.0,2,0,Old Trafford,Manchester United,Southampton,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/41.png
17685,2016-08-20,75.0,50.0,1,4,bet365 Stadium,Stoke City,Manchester City,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/50.png
17680,2016-08-20,44.0,40.0,2,0,Turf Moor,Burnley,Liverpool,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/40.png
17681,2016-08-20,76.0,64.0,0,2,Liberty Stadium,Swansea,Hull City,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/64.png
17682,2016-08-20,47.0,52.0,1,0,White Hart Lane,Tottenham,Crystal Palace,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/52.png
17683,2016-08-20,38.0,49.0,1,2,Vicarage Road,Watford,Chelsea,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/49.png
17684,2016-08-20,60.0,45.0,1,2,The Hawthorns,West Brom,Everton,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/45.png
17679,2016-08-20,46.0,42.0,0,0,King Power Stadium,Leicester,Arsenal,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/42.png
17678,2016-08-21,74.0,70.0,1,2,Stadium of Light,Sunderland,Middlesbrough,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/70.png
17677,2016-08-21,48.0,35.0,1,0,London Stadium,West Ham,Bournemouth,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/35.png
17676,2016-08-27,47.0,40.0,1,1,White Hart Lane,Tottenham,Liverpool,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/40.png
17670,2016-08-27,49.0,44.0,3,0,Stamford Bridge,Chelsea,Burnley,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/44.png
17671,2016-08-27,52.0,35.0,1,1,Selhurst Park,Crystal Palace,Bournemouth,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/35.png
17672,2016-08-27,45.0,75.0,1,0,Goodison Park,Everton,Stoke City,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/75.png
17673,2016-08-27,46.0,76.0,2,1,King Power Stadium,Leicester,Swansea,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/76.png
17674,2016-08-27,41.0,74.0,1,1,St. Mary's Stadium,Southampton,Sunderland,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/746.png
17675,2016-08-27,38.0,42.0,1,3,Vicarage Road,Watford,Arsenal,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/42.png
17669,2016-08-27,64.0,33.0,0,1,KCOM Stadium,Hull City,Manchester United,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/33.png
